FECHA,promedio PM-10,promedio O3 ppb,promedio CO,promedio NOx,CALIDAD DEL AIRE
Apr-09,28.35,14.22,1.9,0,0.8
may-09,36.92,14,2.08,106.76,0.8
jun-09,48.68,21.43,1.88,0,0.5
jul-09,41.78,0,1.48,114.57,0.8
Aug-09,39.63,21.6,1.34,0,0.8
Sep-09,33.61,25.33,1.34,0,0.8
oct-09,31.22,29.42,1.21,0,0.8
nov-09,29.33,30.51,1.33,86.14,0.8
Dec-09,27.85,21.41,1.41,90.07,0.8
Jan-10,26.78,12.19,1.15,89.67,0.8
feb-10,27.37,9.4,1.27,0,0.8
mar-10,27.62,10.22,1.52,94.1,0.8
Apr-10,28.37,10.68,1.32,84.42,0.8
may-10,31.59,0,1.32,106.68,0.8
jun-10,37.57,0,1.13,119.47,0.5
jul-10,41.49,17.69,1.16,129.08,0.5
Aug-10,"44,248",18.31,14.7,114.19,0.5
Sep-10,"40,596",16.43,13.14,0,0.5
oct-10,29.9,13.71,12.11,102.88,0.8
nov-10,29.79,18.78,13.47,91.03,0.8
Dec-10,25.81,15.8,0.78,0,0.8
Jan-11,22.18,9.69,1.67,0,0.8
feb-11,25.36,7.05,1.6,0,0.8
mar-11,23.95,7.29,1.42,0,0.8
Apr-11,"27,341",7.5,1.31,0,0.8
may-11,31.46,7.69,1.24,0,0.8
jun-11,"40,163",8.12,1.47,0,0.5
jul-11,30.36,8.59,0,0,0.8
Aug-11,27.85,10.06,1.31,0,0.8
Sep-11,28.36,15.41,1.11,0,0.8
oct-11,0,14.55,1.17,0,1
nov-11,0,13.47,1.16,79.54,0.8
Dec-11,0,10.37,1.36,94.58,0.8
Jan-12,24.46,10.86,0.9888,29.95,0.8
feb-12,25.72,10.07,1.08,94.61,0.8
mar-12,30.02,10.21,0.97,24.52,0.8
Apr-12,34.38,7.27,0.99,24.5,0.8
may-12,35.89,5.6,1.12,29.5,0.8
jun-12,38.72,9.85,1.18,24.08,0.8
jul-12,38.56,11.2,1.21,36.56,0.8
Aug-12,36.19,14.84,1.23,117.07,0.5
Sep-12,34.02,0,0.75,91.14,0.8
oct-12,27.14,4.5,0,32.59,0.8
nov-12,37.47,21.88,0,83.29,0.8
Dec-12,42.32,15,0,33.15,0.8
Jan-13,38.86,8.13,1.04,83.19,0.8
feb-13,35.99,9.92,0.97,93.34,0.8
mar-13,30.77,3.38,0.91,88.53,0.8
Apr-13,0,4.48,1.02,100.07,0.5
may-13,47.19,4.02,0,158.26,0.5
jun-13,55.71,4.37,1.24,199.12,0.5
jul-13,54.6,4.22,0.99,167.68,0.5
Aug-13,0,9.07,0.83,123.38,0.5
Sep-13,0,9.25,0.92,32.82,1
oct-13,0,0,0.92,41.65,1
nov-13,0,0,0,0,0
Dec-13,0,0,0,0,0
Jan-14,0,0,0,0,0
feb-14,40.29,17.23,1.35,79.81,0.8
mar-14,37.33,18.73,1.42,72.57,0.8
Apr-14,39.61,14.11,1.38,0,0.8
may-14,51.37,12.04,1.54,0,0.8
jun-14,59.28,15.27,1.6,106.02,0.5
jul-14,54.05,19.3,1.48,97,0.5
Aug-14,45.6,0,0.95,59.53,0.8
Sep-14,46.64,0,1.23,0,0.8
oct-14,43.12,0,0.92,0,0.8
nov-14,42.2,0,0,0,0
Dec-14,39.18,0,0,0,0
Jan-15,30.68,0,0,0,0.8
feb-15,38.88,0,0,0,0.8
mar-15,32.22,0,0,0,0.8
Apr-15,46.13,0,0,0,0.8
may-15,57.01,0,0,0,0.5
jun-15,67.33,0,0,0,0.5
jul-15,65.21,0,0,0,0.5
Aug-15,58.37,0,0,0,0.5
Sep-15,46.54,0,0,0,0.8
oct-15,43.59,0,0,0,0.8
nov-15,0,0,0,0,0
Dec-15,0,0,0,0,0
Jan-16,38.44,0,0,0,0.8
feb-16,35.11,0,0,0,1
mar-16,0,0,0,0,0
Apr-16,0,0,0,0,0
may-16,54.76,0,0,0,0.5
jun-16,70.88,12.57,0,0,0.3
jul-16,66.42,12.6,0,0,0.3
Aug-16,67.07,15.54,0,0,0.3
Sep-16,58.42,17.97,0,0,0.5
oct-16,49.58,6.46,0,0,0.8
nov-16,57.63,2.94,0,0,0.5
Dec-16,43.62,2.96,0,35.07,1
Jan-17,34.11,0,0,0,1
feb-17,34.32,0,0,0,1
mar-17,38.23,0,0,0,0.8
Apr-17,46.35,0,0,0,0.5
may-17,52.07,0,0,0,0.3
jun-17,63.39,0,0,0,0.3
jul-17,67.65,0,0,0,0.5
Aug-17,70.38,0,0,0,0.5
Sep-17,56.04,0,0,0,0.8
oct-17,51.96,0,0,0,0.8
nov-17,46.76,0,0,0,0.8
Dec-17,43.13,0,0,0,0.8
Jan-18,35.12,0,0,0,1
feb-18,0,0,0,0,0
mar-18,46.81,0,0,0,0.8
Apr-18,40.53,0,0,0,1
may-18,58.16,0,0,0,0.8
jun-18,53.9,0,0,0,0.8
jul-18,61.36,0,0,0,0.5
Aug-18,53.25,0,0,0,0.8
Sep-18,55.87,0,0,0,0.8
oct-18,45.07,0,0,0,0.8
nov-18,41.69,0,0,0,0.8
Dec-18,41.49,0,0,0,0.8
Jan-19,35.85,0,0,0,1
feb-19,35.71,0,0,0,1
mar-19,35.81,0,0,0,1
Apr-19,39.64,0,0,0,1
may-19,45.41,0,0,0,0.8
jun-19,55.83,10.17,0,135.11,0.3
jul-19,55.35,11.72,0,100.41,0.3
Aug-19,54.29,17.96,0,0,0.5
Sep-19,44.65,18.19,0,0,0.5
oct-19,34.41,20.99,0,0,0.8
nov-19,31.74,0,0,0,0.8
Dec-19,28.3,12.59,0,0,0.8
Jan-20,31.62,0,11.14,72.35,0.5
feb-20,29.1,0,2.18,59.13,0.5
mar-20,12.84,0,1.89,12.32,0.3
Apr-20,22.06,0,0.81,6.7,0.8
may-20,31.99,0,0.97,6.11,0.5
jun-20,45.49,0,1.17,42.99,0.3
jul-20,50.14,0,1.03,62.54,0.3
Aug-20,48.17,0,1.02,52.87,0.3
Sep-20,45.55,0,1.24,53.56,0.3
oct-20,38.56,0,1.12,0,0.8
nov-20,47.71,0,1.02,0,0.3
Dec-20,31.03,0,1.52,72.16,0.5
Jan-21,29.6,0,1.93,,0.5
feb-21,27.31,0,1.95,,0.5
mar-21,26.94,0,1.98,,0.5
Apr-21,35.05,0,1.76,,0.5
may-21,44.66,0,1.78,,0.5
jun-21,44.85,0,1.68,,0.5
jul-21,48.98,0,1.54,,0.5
Aug-21,44.26,0,1.16,,0.8
Sep-21,38.69,0,1.09,,0.8
oct-21,40.16,0,1.04,,0.8
nov-21,32.09,0,0.89,,0.5
Dec-21,31.99,0,0.99,,0.5
Jan-22,26.4,0,0.77,,0.8
feb-22,30.09,0,0.25,,0.5
mar-22,30,0,0.02,,0.5
Apr-22,40.3,0,0,,0.8
may-22,32.6,0,0,,0.8
jun-22,40.74,0,1.64,,0.8
jul-22,48.78,0,1.38,,0.5
Aug-22,0,0,0.75,,0
Sep-22,0,0,0.81,,0
oct-22,31.59,0,0.68,,0.5
nov-22,33.25,0,0.68,,0.5
Dec-22,31.77,0,0,,0
